OrderID,OrderDate,Region,Country,Category,Product,Segment,Quantity,Sales,Profit
ORD1024,25-12-2024,East,Germany,office supplies,Monitor,Home Office,1,4776.82,1088.71
ORD1025,06-10-2024,West,Canada,Electronics,Printer,Home Office,2,3874.80,450.63
ORD1026,02-08-2024,East,USA,FURNITURE,Mouse,Corporate,6,181.78,17.73
ORD1027,22-04-2024,West,Germany,Office supplies,Monitor,Home Office,9,430.91,85.82
ORD1028,17-08-2024,East,Canada,electronics,Laptop,Home Office,2,1384.71,324.25
ORD1029,28-10-2024,South,USA,Furniture,Mouse,Consumer,10,295.15,67.71
ORD1030,22-05-2024,South,USA,OFFICE SUPPLIES,Mouse,Consumer,10,396.30,21.42
ORD1031,04-01-2024,West,Germany,Electronics,Laptop,Home Office,6,3967.52,846.98
ORD1032,22-03-2024,West,UK,furniture,Laptop,Home Office,7,2582.39,285.64
ORD1033,23-12-2024,South,Germany,Office Supplies,Laptop,Consumer,1,3180.00,337.30
ORD1034,04-08-2024,East,UK,ELECTRONICS,Keyboard,Home Office,5,2555.14,378.99
ORD1035,23-06-2024,West,India,Furniture,Mouse,Corporate,7,2135.62,404.14
ORD1036,22-05-2024,North,Germany,office supplies,Monitor,Home Office,7,3538.87,246.46
ORD1037,20-03-2024,East,UK,Electronics,Printer,Home Office,2,503.90,112.76
ORD1038,20-04-2024,East,Canada,FURNITURE,Keyboard,Corporate,9,2729.17,209.81
ORD1039,21-06-2024,South,USA,Office supplies,Chair,Consumer,4,3118.63,763.58
ORD1040,22-02-2024,West,India,electronics,Mouse,Home Office,10,1459.59,202.33
ORD1041,17-02-2024,East,Germany,Furniture,Monitor,Consumer,9,1618.54,348.25
ORD1042,13-07-2024,West,UK,OFFICE supplies,Desk,Consumer,3,2605.39,270.66
ORD1043,19-02-2024,West,Canada,Electronics,Monitor,Home Office,7,1095.67,146.11
ORD1044,02-07-2024,West,UK,furniture,Keyboard,Home Office,3,4059.49,727.10
ORD1045,25-06-2024,South,Germany,Office Supplies,Laptop,Consumer,3,2728.31,238.96
ORD1046,05-11-2024,West,UK,ELECTRONics,Desk,Home Office,5,2014.58,185.90
ORD1047,15-05-2024,South,Germany,Furniture,Keyboard,Home Office,5,3208.04,689.07
ORD1048,23-01-2024,North,UK,office supplies,Monitor,Consumer,5,4189.18,830.25
ORD1049,23-08-2024,East,USA,Electronics,Printer,Consumer,8,3437.17,693.96
ORD1050,01-10-2024,East,Germany,FURNITURE,Keyboard,Corporate,3,423.96,94.73
ORD1051,04-03-2024,North,Germany,Office supplies,Printer,Home Office,2,3523.51,754.75
ORD1052,12-07-2024,South,India,electronics,Desk,Corporate,3,3676.80,562.75
ORD1053,10-02-2024,East,USA,Furniture,Chair,Consumer,7,4247.69,347.44
ORD1054,09-10-2024,South,Germany,OFFICE SUPPLIES,Mouse,Home Office,5,383.74,43.07
ORD1055,30-05-2024,South,Canada,Electronics,Mouse,Consumer,7,522.44,79.08
ORD1056,17-11-2024,South,UK,furniture,Keyboard,Home Office,5,2228.97,171.92
ORD1057,12-11-2024,North,Canada,Office Supplies,Desk,Home Office,8,2321.52,511.34
ORD1058,04-07-2024,North,UK,ELECTRONICS,Printer,Corporate,2,3083.28,696.41
ORD1059,22-10-2024,South,UK,Furniture,Desk,Consumer,6,1615.52,90.13
ORD1060,08-04-2024,West,India,office supplies,Laptop,Home Office,5,3734.30,330.68
ORD1061,26-12-2024,North,Germany,Electronics,Keyboard,Corporate,4,3729.23,807.70
ORD1062,05-02-2024,West,UK,FURNITURE,Laptop,Consumer,8,685.27,148.97
ORD1063,24-01-2024,West,India,Office supplies,Chair,Corporate,10,3568.71,356.51
ORD1064,04-12-2024,South,Canada,electronics,Desk,Consumer,10,3537.35,499.79
ORD1065,26-04-2024,West,India,Furniture,Desk,Home Office,4,902.78,210.90
ORD1066,28-05-2024,West,Canada,OFFICE supplies,Desk,Corporate,8,4769.78,910.68
ORD1067,10-02-2024,West,Germany,Electronics,Desk,Corporate,2,2662.73,279.04
ORD1068,29-04-2024,South,UK,furniture,Chair,Home Office,3,3936.64,845.20
ORD1069,21-02-2024,South,USA,Office Supplies,Printer,Consumer,5,3631.75,548.49
ORD1070,13-07-2024,North,Canada,ELECTRONics,Monitor,Home Office,1,918.12,162.58
ORD1071,22-05-2024,North,UK,Furniture,Chair,Corporate,7,721.96,53.98
ORD1072,20-08-2024,West,USA,office supplies,Printer,Home Office,6,3927.51,220.38
ORD1073,21-11-2024,South,USA,Electronics,Mouse,Corporate,10,1416.95,176.40
ORD1074,05-07-2024,South,Canada,FURNITURE,Keyboard,Home Office,7,4443.43,750.09
ORD1075,24-03-2024,West,UK,Office supplies,Printer,Consumer,6,3880.01,331.81
ORD1076,08-07-2024,North,USA,electronics,Keyboard,Corporate,8,243.85,54.65
ORD1077,30-06-2024,South,India,Furniture,Mouse,Corporate,6,4054.83,678.68
ORD1078,17-04-2024,North,India,OFFICE SUPPLIES,Printer,Consumer,7,1432.70,171.86
ORD1079,09-12-2024,West,UK,Electronics,Desk,Home Office,10,412.97,34.15
ORD1080,16-05-2024,South,Germany,furniture,Chair,Consumer,3,3590.38,821.83
ORD1081,25-12-2024,West,India,Office Supplies,Mouse,Home Office,5,2925.59,584.51
ORD1082,15-12-2024,East,Canada,ELECTRONICS,Printer,Consumer,6,477.64,89.69
ORD1083,27-11-2024,West,UK,Furniture,Monitor,Consumer,10,2330.47,249.39
ORD1084,06-02-2024,West,USA,office supplies,Monitor,Corporate,4,1864.61,237.39
ORD1085,07-11-2024,West,India,Electronics,Laptop,Corporate,8,2548.09,210.43
ORD1086,21-11-2024,South,UK,FURNITURE,Printer,Home Office,6,2877.74,473.25
ORD1087,28-03-2024,West,UK,Office supplies,Chair,Consumer,3,1901.67,462.07
ORD1088,30-09-2024,West,Germany,electronics,Desk,Home Office,7,1350.07,298.94
ORD1089,05-05-2024,East,USA,Furniture,Laptop,Consumer,6,604.23,108.44
ORD1090,24-03-2024,South,USA,OFFICE supplies,Printer,Consumer,5,2912.17,540.32
ORD1091,24-08-2024,East,USA,Electronics,Desk,Corporate,8,3641.61,378.06
ORD1092,13-07-2024,West,Canada,furniture,Chair,Consumer,10,1219.18,160.81
ORD1093,18-05-2024,South,UK,Office Supplies,Chair,Corporate,4,2593.24,140.06
ORD1094,23-11-2024,East,Canada,ELECTRONics,Laptop,Corporate,6,315.79,65.07
ORD1095,18-12-2024,West,Canada,Furniture,Laptop,Consumer,7,4328.35,880.88
ORD1096,12-10-2024,North,UK,office supplies,Printer,Consumer,5,1298.30,67.23
ORD1097,22-04-2024,East,USA,Electronics,Desk,Home Office,7,2411.65,560.23
ORD1098,16-12-2024,South,UK,FURNITURE,Mouse,Home Office,6,1976.60,354.75
ORD1099,15-06-2024,East,Germany,Office supplies,Monitor,Home Office,2,835.41,142.21
ORD1100,29-01-2024,East,UK,electronics,Desk,Corporate,10,4662.68,241.03
ORD1101,27-04-2024,East,UK,Furniture,Chair,Corporate,4,4301.68,432.22
ORD1102,17-01-2024,North,India,OFFICE SUPPLIES,Mouse,Corporate,10,2809.04,592.76
ORD1103,10-06-2024,South,Germany,Electronics,Chair,Corporate,9,4578.34,508.62
ORD1104,24-07-2024,South,India,furniture,Mouse,Corporate,3,3729.26,907.72
ORD1105,17-05-2024,South,USA,Office Supplies,Printer,Corporate,9,2154.91,384.76
ORD1106,03-02-2024,West,USA,ELECTRONICS,Monitor,Consumer,1,1676.83,225.97
ORD1107,18-04-2024,South,Germany,Furniture,Keyboard,Home Office,8,2139.66,268.09
ORD1108,17-10-2024,South,Canada,office supplies,Printer,Home Office,4,3629.41,434.59
ORD1109,10-06-2024,North,UK,Electronics,Chair,Home Office,8,1429.16,143.49
ORD1110,18-04-2024,West,India,FURNITURE,Mouse,Consumer,5,481.65,69.04
ORD1111,01-12-2024,West,Germany,Office supplies,Chair,Home Office,2,1926.76,357.30
ORD1112,12-09-2024,East,India,electronics,Desk,Corporate,7,2560.00,550.05
ORD1113,21-07-2024,West,UK,Furniture,Monitor,Consumer,8,4519.51,584.96
ORD1114,25-11-2024,West,Canada,OFFICE supplies,Desk,Consumer,3,978.79,68.97
ORD1115,22-08-2024,North,India,Electronics,Desk,Home Office,5,4041.26,615.49
ORD1116,14-03-2024,South,Germany,furniture,Printer,Corporate,4,4908.93,895.74
ORD1117,15-05-2024,West,UK,Office Supplies,Desk,Home Office,5,4774.99,1044.08
ORD1118,12-03-2024,West,UK,ELECTRONics,Laptop,Consumer,3,437.74,54.65
ORD1119,06-05-2024,North,Canada,Furniture,Laptop,Home Office,7,2378.96,426.95
ORD1120,14-10-2024,West,Germany,office supplies,Desk,Consumer,7,1483.30,254.85
ORD1121,02-10-2024,West,UK,Electronics,Monitor,Consumer,2,4239.75,465.08
ORD1122,14-05-2024,North,India,FURNITURE,Desk,Consumer,8,1703.77,122.03
ORD1123,26-10-2024,East,USA,Office supplies,Chair,Corporate,10,2810.15,176.39
ORD1124,07-08-2024,East,Germany,electronics,Chair,Corporate,8,139.05,34.44
ORD1125,25-10-2024,West,India,Furniture,Monitor,Home Office,10,1083.29,192.95
ORD1126,23-07-2024,West,Canada,OFFICE SUPPLIES,Printer,Home Office,7,2862.65,636.36
ORD1127,04-07-2024,South,Canada,Electronics,Laptop,Home Office,9,1589.16,162.46
ORD1128,22-04-2024,West,UK,furniture,Laptop,Corporate,9,3151.32,605.74
ORD1129,11-03-2024,South,Canada,Office Supplies,Printer,Home Office,7,2373.24,542.23
ORD1130,17-09-2024,East,USA,ELECTRONICS,Desk,Corporate,9,2999.29,329.20
ORD1131,09-09-2024,West,India,Furniture,Monitor,Consumer,1,2517.47,201.36
ORD1132,16-02-2024,West,Germany,office supplies,Mouse,Consumer,6,3885.80,789.19
ORD1133,25-01-2024,North,UK,Electronics,Keyboard,Corporate,9,1057.57,243.17
ORD1134,26-02-2024,West,Germany,FURNITURE,Keyboard,Corporate,10,4512.17,952.46
ORD1135,19-03-2024,East,India,Office supplies,Desk,Consumer,2,3826.36,805.34
ORD1136,17-11-2024,West,USA,electronics,Printer,Corporate,2,1301.12,221.20
ORD1137,22-03-2024,South,India,Furniture,Monitor,Consumer,4,131.25,23.90
ORD1138,14-12-2024,West,India,OFFICE supplies,Laptop,Home Office,6,2109.18,392.63
ORD1139,04-08-2024,South,UK,Electronics,Mouse,Consumer,3,1241.69,241.21
ORD1140,01-11-2024,North,Germany,furniture,Laptop,Consumer,10,1797.48,325.49
ORD1141,02-02-2024,West,India,Office Supplies,Desk,Home Office,1,4213.91,1051.34
ORD1142,16-07-2024,North,India,ELECTRONics,Chair,Corporate,10,4398.27,448.12
ORD1143,14-07-2024,North,USA,Furniture,Printer,Home Office,7,4759.85,636.45
ORD1144,01-11-2024,West,Canada,office supplies,Keyboard,Consumer,6,107.16,13.68
ORD1145,27-08-2024,South,USA,Electronics,Printer,Consumer,7,3320.79,189.50
ORD1146,27-09-2024,West,Germany,FURNITURE,Mouse,Consumer,2,4260.13,816.30
ORD1147,08-05-2024,South,Germany,Office Supplies,Desk,Consumer,1,3663.35,602.29
ORD1148,10-10-2024,North,UK,electronics,Printer,Consumer,2,609.35,53.61
ORD1149,06-01-2024,East,Canada,Furniture,Laptop,Home Office,5,2696.09,526.57
ORD1150,14-12-2024,West,Germany,OFFICE SUPPLIES,Desk,Consumer,4,1267.02,119.70
ORD1151,28-02-2024,East,Canada,electroNics,Laptop,Corporate,9,2510.94,394.03
ORD1152,15-12-2024,South,USA,furniture,Monitor,Home Office,9,393.49,81.44
ORD1153,01-10-2024,West,Germany,Office supplies,Monitor,Home Office,9,4985.10,1153.08
ORD1154,16-05-2024,East,India,ELECTRONICS,Chair,Home Office,10,3587.10,661.37
ORD1155,24-11-2024,East,Germany,FurnituRe,Printer,Consumer,10,555.83,84.19
ORD1156,23-06-2024,West,Canada,office Supplies,Monitor,Consumer,4,4614.24,1010.91
ORD1157,27-02-2024,East,Germany,Electronics,Printer,Home Office,8,4496.71,980.86
ORD1158,30-05-2024,West,UK,FURNITURE,Laptop,Consumer,6,2646.82,596.33
ORD1159,10-08-2024,East,India,office supplies,Desk,Corporate,7,3534.15,304.74
ORD1160,21-03-2024,North,UK,electronics,Monitor,Corporate,8,1925.21,133.84
ORD1161,20-08-2024,West,USA,Furniture,Desk,Consumer,10,4875.32,368.52
ORD1162,02-01-2024,North,Germany,OFFICE supplies,Mouse,Home Office,9,516.02,52.49
ORD1163,14-05-2024,North,Germany,Electronics,Monitor,Consumer,3,568.33,120.30
ORD1164,13-09-2024,East,USA,furniTure,Printer,Consumer,6,754.22,152.79
ORD1165,01-04-2024,South,UK,Office Supplies,Mouse,Consumer,1,4117.82,356.66
ORD1166,16-09-2024,North,India,ELECTRONics,Monitor,Home Office,8,466.67,86.77
ORD1167,24-02-2024,North,UK,Furniture,Keyboard,Corporate,2,2882.32,337.60
ORD1168,16-11-2024,North,Canada,office supplies,Monitor,Consumer,5,2231.42,151.42
ORD1169,01-06-2024,South,UK,Electronics,Laptop,Home Office,7,4824.67,584.06
ORD1170,23-11-2024,South,India,FURNITURE,Chair,Home Office,2,1260.18,250.58
ORD1171,16-09-2024,North,Germany,Office supplies,Laptop,Corporate,2,1378.86,153.63
ORD1172,07-11-2024,South,UK,electronics,Desk,Home Office,3,1643.54,341.23
ORD1173,11-04-2024,South,USA,Furniture,Printer,Home Office,6,4024.00,467.84
ORD1174,19-03-2024,South,India,OFFICE SUPPLIES,Mouse,Home Office,5,3533.56,360.82
ORD1175,10-07-2024,West,Germany,Electronics,Printer,Corporate,6,3703.23,402.95
ORD1176,23-03-2024,North,India,furniture,Monitor,Consumer,8,1658.48,365.27
ORD1177,03-10-2024,South,USA,Office Supplies,Printer,Corporate,4,1432.58,206.45
ORD1178,28-09-2024,West,Canada,ELECTRONICS,Mouse,Consumer,9,465.97,104.04
ORD1179,01-01-2024,East,India,Furniture,Chair,Home Office,8,1093.29,182.27
ORD1180,02-11-2024,East,India,office supplies,Chair,Home Office,6,3921.69,936.74
ORD1181,14-06-2024,South,UK,Electronics,Monitor,Consumer,8,2965.07,190.49
ORD1182,07-09-2024,North,USA,FURNITURE,Monitor,Corporate,2,861.51,196.33
ORD1183,10-01-2024,South,USA,Office supplies,Desk,Corporate,8,905.44,135.90
ORD1184,27-02-2024,East,Canada,electronics,Monitor,Corporate,8,2383.67,532.75
ORD1185,04-07-2024,North,USA,Furniture,Laptop,Consumer,6,2091.91,264.28
ORD1186,06-06-2024,North,India,OFFICE supplies,Laptop,Home Office,2,2726.03,298.97
ORD1187,02-05-2024,East,Canada,Electronics,Laptop,Home Office,5,4826.71,293.52
ORD1188,30-01-2024,West,USA,furniture,Chair,Home Office,1,1117.42,246.78
ORD1189,03-05-2024,West,Canada,Office Supplies,Keyboard,Consumer,2,1610.71,124.79
ORD1190,17-10-2024,South,USA,ELECTRONics,Printer,Home Office,1,1398.54,125.95
ORD1191,10-02-2024,North,USA,Furniture,Mouse,Home Office,6,687.58,90.65
ORD1192,13-02-2024,South,UK,office supplies,Desk,Corporate,2,872.32,142.96
ORD1193,05-09-2024,North,USA,Electronics,Monitor,Home Office,3,3461.67,800.77
ORD1194,05-02-2024,East,Canada,FURNITURE,Desk,Corporate,4,4149.29,587.18
ORD1195,29-09-2024,North,India,Office supplies,Chair,Consumer,9,3514.70,398.13
ORD1196,05-03-2024,North,UK,electronics,Monitor,Corporate,3,297.62,57.48
ORD1197,06-03-2024,East,USA,Furniture,Monitor,Home Office,9,4196.03,863.49
ORD1198,03-12-2024,West,USA,OFFICE SUPPLIES,Chair,Home Office,3,1706.19,251.69
ORD1199,31-08-2024,East,Canada,Electronics,Printer,Corporate,6,546.94,96.37
ORD1200,08-10-2024,North,UK,furniture,Monitor,Home Office,9,1316.27,112.36
ORD1201,25-03-2024,East,USA,Office Supplies,Printer,Corporate,7,1843.14,326.05
ORD1202,15-05-2024,North,India,ELECTRONICS,Chair,Home Office,8,2615.95,133.26
ORD1203,27-09-2024,West,India,Furniture,Desk,Corporate,4,3418.20,357.90
ORD1204,06-11-2024,West,USA,office supplies,Monitor,Corporate,7,1374.82,278.04
ORD1205,04-08-2024,North,India,Electronics,Keyboard,Consumer,3,4954.32,414.78
ORD1206,18-04-2024,West,UK,FURNITURE,Mouse,Corporate,3,252.30,51.19
ORD1207,03-10-2024,East,USA,Office supplies,Printer,Corporate,7,2081.52,307.89
ORD1208,19-12-2024,West,Canada,electronics,Monitor,Consumer,7,2315.79,469.44
ORD1209,12-04-2024,South,UK,Furniture,Printer,Home Office,1,3765.58,254.58
ORD1210,31-12-2024,West,India,OFFICE supplies,Monitor,Corporate,10,1324.28,228.96
ORD1211,08-06-2024,South,USA,Electronics,Mouse,Consumer,4,2364.01,417.71
ORD1212,23-07-2024,East,UK,furniture,Monitor,Consumer,8,4039.09,527.82
ORD1213,09-12-2024,West,India,Office Supplies,Monitor,Corporate,10,784.99,190.80
ORD1214,28-11-2024,West,USA,ELECTRONics,Desk,Home Office,7,158.59,20.09
ORD1215,10-07-2024,West,Germany,Furniture,Keyboard,Consumer,7,4168.82,239.90
ORD1216,12-08-2024,East,Canada,office supplies,Monitor,Corporate,1,4914.58,441.74
ORD1217,21-09-2024,East,India,Electronics,Printer,Consumer,4,740.50,92.28
ORD1218,19-08-2024,South,India,FURNITURE,Desk,Home Office,4,4136.00,218.44
ORD1219,02-03-2024,North,Germany,Office supplies,Mouse,Corporate,5,1923.97,220.18
ORD1220,06-05-2024,East,Germany,electronics,Laptop,Corporate,2,3188.46,690.77
ORD1221,25-04-2024,West,UK,Furniture,Printer,Home Office,10,3258.96,287.16
ORD1222,02-02-2024,South,Canada,OFFICE SUPPLIES,Printer,Home Office,2,2953.39,547.41
ORD1223,22-06-2024,West,Canada,Electronics,Keyboard,Consumer,9,1368.22,239.90
ORD1224,11-01-2024,West,India,furniture,Laptop,Corporate,3,4082.46,407.29
ORD1225,28-10-2024,East,Germany,Office Supplies,Desk,Consumer,6,206.82,39.03
ORD1226,10-10-2024,North,Canada,ELECTRONICS,Monitor,Corporate,6,415.91,49.44
ORD1227,27-04-2024,West,USA,Furniture,Printer,Consumer,4,4522.23,342.72
ORD1228,28-10-2024,East,Canada,office supplies,Mouse,Corporate,8,2272.81,287.99
ORD1229,22-04-2024,South,India,Electronics,Keyboard,Home Office,2,731.08,122.63
ORD1230,04-01-2024,West,Canada,FURNITURE,Mouse,Consumer,5,4534.88,378.23
ORD1231,06-02-2024,South,UK,Office supplies,Keyboard,Corporate,8,4163.85,894.26
ORD1232,28-12-2024,East,Germany,electronics,Keyboard,Corporate,9,1724.59,189.08
ORD1233,19-11-2024,East,India,Furniture,Laptop,Consumer,6,309.21,33.45
ORD1234,31-01-2024,East,India,OFFICE supplies,Monitor,Home Office,10,2358.88,461.32
ORD1235,27-04-2024,East,Germany,Electronics,Desk,Home Office,7,923.15,156.27
ORD1236,04-02-2024,East,Germany,furniture,Printer,Consumer,10,2912.03,342.36
ORD1237,17-01-2024,North,Germany,Office Supplies,Keyboard,Consumer,7,4126.26,939.12
ORD1238,18-06-2024,South,India,ELECTRONics,Mouse,Corporate,10,2035.49,507.03
ORD1239,06-02-2024,North,Germany,Furniture,Mouse,Corporate,2,244.46,28.98
ORD1240,20-09-2024,South,Germany,office supplies,Monitor,Home Office,6,3447.74,793.93
ORD1241,01-05-2024,West,India,Electronics,Monitor,Home Office,6,946.76,115.36
ORD1242,22-05-2024,West,India,FURNITURE,Chair,Home Office,8,1152.11,101.02
ORD1243,08-12-2024,South,UK,Office supplies,Keyboard,Consumer,10,1017.04,243.70
ORD1244,05-09-2024,West,Canada,electronics,Laptop,Consumer,3,1471.29,343.75
ORD1245,19-04-2024,West,USA,Furniture,Monitor,Consumer,5,4428.78,578.75
ORD1246,03-10-2024,West,India,OFFICE SUPPLIES,Desk,Home Office,10,269.78,25.81
ORD1247,08-03-2024,North,USA,Electronics,Chair,Home Office,10,3133.97,612.48
ORD1248,19-10-2024,North,UK,furniture,Monitor,Home Office,2,1304.35,99.45
ORD1249,22-10-2024,East,Canada,Office Supplies,Keyboard,Home Office,3,1546.02,304.28
ORD1250,30-08-2024,South,Canada,ELECTRONICS,Keyboard,Consumer,6,2118.76,355.82
ORD1251,04-05-2024,West,Canada,Furniture,Monitor,Corporate,2,2798.37,234.49
ORD1252,30-08-2024,South,UK,office supplies,Mouse,Consumer,4,398.80,49.18
ORD1253,27-07-2024,East,Germany,Electronics,Mouse,Corporate,5,1470.90,264.92
ORD1254,07-04-2024,East,Canada,FURNITURE,Desk,Corporate,2,772.46,44.40
ORD1255,18-02-2024,West,Canada,Office supplies,Chair,Consumer,3,1077.34,242.73
ORD1256,19-02-2024,East,UK,electronics,Mouse,Consumer,6,4434.80,448.61
ORD1257,03-12-2024,West,Germany,Furniture,Keyboard,Consumer,3,2676.49,420.07
ORD1258,08-08-2024,East,Canada,OFFICE supplies,Chair,Home Office,9,3190.70,190.54
ORD1259,30-06-2024,East,Canada,Electronics,Laptop,Consumer,7,4030.62,1003.37
ORD1260,04-08-2024,West,Germany,furniture,Monitor,Home Office,7,3994.75,728.62
ORD1261,29-07-2024,East,India,Office Supplies,Keyboard,Corporate,10,4948.08,894.18
ORD1262,27-08-2024,East,India,ELECTRONics,Laptop,Consumer,3,3931.39,212.09
ORD1263,28-01-2024,East,Canada,Furniture,Chair,Home Office,10,1859.65,349.52
ORD1264,10-12-2024,South,USA,office supplies,Laptop,Home Office,7,2768.14,369.15
ORD1265,30-11-2024,North,Germany,Electronics,Desk,Home Office,7,2474.93,311.97
ORD1266,26-11-2024,South,Germany,FURNITURE,Printer,Consumer,3,4572.12,729.05
ORD1267,20-02-2024,East,USA,Office supplies,Desk,Corporate,8,2561.73,371.14
ORD1268,01-02-2024,North,Germany,electronics,Chair,Consumer,9,2003.07,161.50
ORD1269,25-07-2024,South,UK,Furniture,Desk,Home Office,3,981.10,185.47
ORD1270,22-06-2024,South,Germany,OFFICE SUPPLIES,Keyboard,Corporate,9,1662.50,292.70
ORD1271,25-02-2024,South,Germany,Electronics,Chair,Corporate,3,1173.20,129.31
ORD1272,07-05-2024,West,Germany,furniture,Desk,Corporate,8,4489.25,818.54
ORD1273,08-04-2024,East,India,Office Supplies,Monitor,Corporate,5,3914.84,714.44
ORD1274,07-04-2024,East,UK,ELECTRONICS,Mouse,Home Office,3,387.10,40.26
ORD1275,01-10-2024,North,Germany,Furniture,Monitor,Home Office,3,4958.50,848.53
ORD1276,17-08-2024,South,UK,office supplies,Desk,Corporate,6,2694.22,208.62
ORD1277,12-03-2024,East,UK,Electronics,Mouse,Corporate,8,3857.53,833.73
ORD1278,04-08-2024,South,UK,FURNITURE,Mouse,Corporate,10,4998.07,354.78
ORD1279,03-04-2024,East,USA,Office supplies,Keyboard,Corporate,1,4872.50,944.06
ORD1280,22-05-2024,South,Germany,electronics,Keyboard,Home Office,6,590.66,43.44
ORD1281,24-08-2024,East,India,Furniture,Laptop,Corporate,1,3318.64,241.61
ORD1282,07-05-2024,North,India,OFFICE supplies,Keyboard,Corporate,8,1405.98,100.18
ORD1283,08-02-2024,South,India,Electronics,Chair,Consumer,3,4099.80,367.87
ORD1284,14-08-2024,East,India,furniture,Monitor,Home Office,4,4594.57,413.28
ORD1285,08-10-2024,North,Germany,Office Supplies,Chair,Corporate,7,373.95,38.37
ORD1286,20-02-2024,North,India,ELECTRONics,Monitor,Corporate,9,4982.32,770.41
ORD1287,26-01-2024,East,UK,Furniture,Printer,Consumer,9,1175.12,106.15
ORD1288,29-11-2024,South,USA,office supplies,Keyboard,Corporate,8,4247.87,810.02
ORD1289,03-10-2024,West,Canada,Electronics,Desk,Corporate,7,4007.21,437.07
ORD1290,08-01-2024,North,India,FURNITURE,Monitor,Corporate,8,1838.54,106.42
ORD1291,17-02-2024,North,Canada,Office Supplies,Desk,Consumer,7,4212.19,628.76
ORD1292,01-05-2024,East,Canada,electronics,Printer,Home Office,8,4241.58,388.27
ORD1293,26-03-2024,West,Canada,Furniture,Chair,Consumer,8,962.89,227.84
ORD1294,27-07-2024,West,UK,OFFICE SUPPLIES,Desk,Home Office,3,3003.35,348.75
ORD1295,05-09-2024,West,India,electroNics,Monitor,Consumer,2,4050.43,204.74
ORD1296,03-09-2024,East,Germany,furniture,Printer,Consumer,10,3518.37,648.53
ORD1297,19-04-2024,South,UK,Office supplies,Monitor,Corporate,1,4578.50,1059.36
ORD1298,24-07-2024,North,Germany,ELECTRONICS,Printer,Home Office,4,238.21,51.70
ORD1299,31-01-2024,East,India,FurnituRe,Keyboard,Home Office,5,3532.75,649.33
ORD1300,25-03-2024,West,UK,office Supplies,Mouse,Home Office,1,4743.04,378.63
ORD1301,13-07-2024,North,Canada,Electronics,Mouse,Home Office,5,2861.67,194.64
ORD1302,02-01-2024,North,UK,FURNITURE,Keyboard,Corporate,4,2859.23,435.58
ORD1303,18-07-2024,West,UK,office supplies,Keyboard,Corporate,9,1022.34,199.06
ORD1304,15-05-2024,West,India,electronics,Keyboard,Consumer,5,4941.23,347.16
ORD1305,20-08-2024,North,Canada,Furniture,Mouse,Consumer,3,4419.97,447.21
ORD1306,26-05-2024,North,Canada,OFFICE supplies,Keyboard,Corporate,8,2511.91,241.73
ORD1307,04-08-2024,South,USA,Electronics,Printer,Consumer,10,1614.36,399.93
ORD1308,22-12-2024,South,USA,furniTure,Monitor,Corporate,8,2503.14,273.35
ORD1309,11-10-2024,East,Germany,Office Supplies,Desk,Home Office,9,542.26,77.46
